연도,날짜,지점,관측값
2021,412,서울,22
2021,413,서울,8
2021,416,서울,0.7
2021,427,서울,1.7
2021,428,서울,4.7
2021,429,서울,3.9
2021,430,서울,26.3
2021,501,서울,8
2021,502,서울,1.7
2021,504,서울,19.6
2021,505,서울,0.1
2021,507,서울,8.8
2021,515,서울,15
2021,516,서울,66.9
2021,517,서울,3.1
2021,520,서울,0.9
2021,521,서울,6.9
2021,522,서울,0.2
2021,525,서울,8.3
2021,527,서울,8.9
2021,528,서울,12.3
2021,529,서울,0.3
2021,530,서울,18.1
2021,531,서울,4
2021,601,서울,3.2
2021,603,서울,18.1
2021,608,서울,0.1
2021,610,서울,6.1
2021,611,서울,4.6
2021,615,서울,1.9
2021,618,서울,6.3
2021,623,서울,7.5
2021,626,서울,4.5
2021,627,서울,38.2
2021,628,서울,0.1
2021,629,서울,8
2021,630,서울,6
2021,703,서울,60
2021,704,서울,21.4
2021,707,서울,12.7
2021,708,서울,2.9
2021,710,서울,0.5
2021,711,서울,0.4
2021,719,서울,67.4
2021,731,서울,3
2021,801,서울,21
2021,802,서울,1.7
2021,808,서울,12.7
2021,817,서울,9.3
2021,818,서울,5.6
2021,821,서울,62.8
2021,823,서울,7.4
2021,824,서울,10.5
2021,825,서울,0.3
2021,826,서울,0.7
2021,827,서울,0.9
2021,829,서울,0.9
2021,831,서울,77.4
2021,901,서울,0.8
2021,906,서울,12
2021,907,서울,29.6
2021,908,서울,1.6
2021,921,서울,68.1
2021,922,서울,4.5
2021,928,서울,1.3
2021,929,서울,13.1
2021,1001,서울,13.3
2021,1004,서울,3.6
2021,1006,서울,6.4
2021,1007,서울,4.6
2021,1008,서울,3.5
2021,1009,서울,0.4
2021,1010,서울,14.2
2021,1011,서울,0.3
2021,1018,서울,5.6
2021,1019,서울,4.4
2021,1031,서울,0.7
2021,1108,서울,25.7
2021,1109,서울,2
2021,1110,서울,0.3
2021,1121,서울,5.9
2021,1122,서울,1.3
2021,1130,서울,27.2
2021,1202,서울,0.1
2021,1203,서울,0.4
2021,1210,서울,0.7
